Number,"Asset Key","Asset Definition",Status,Service,"Access Point"
288125,4c:c5:3e:5e:b0:65,Zyxel,"Not Available",1251795756,
251636,08:26:97:84:c2:3d,zyxel,"Not Available",1251705554,
273959,4c:c5:3e:5e:cc:31,zyxel,"Not Available",1251763566,
295837,4c:c5:3e:7a:64:a0,Zyxel,"Not Available",1251822005,
256905,08:26:97:84:81:09,zyxel,"Not Available",1251716894,
275390,4C:C5:3E:5F:26:55,Zyxel,"Not Available",1251773373,
300326,4c:c5:3e:72:d7:f5,zyxel,"Not Available",1251788559,
258663,08:26:97:72:56:85,Zyxel,"Not Available",1251727561,
281595,4c:c5:3e:5f:0f:21,Zyxel,"Not Available",1251772807,
264976,"08:26:97:84:A6:95	",Zyxel,"Not Available",1251740314,
283785,4c:c5:3e:5e:c9:fd,Zyxel,"Not Available",1251775733,
246903,08:26:97:70:c8:b1,zyxel,"Not Available",1251691505,
270844,08:26:97:7b:4c:59,Zyxel,"Not Available",1251728357,
288555,4c:c5:3e:72:da:a1,Zyxel,"Not Available",1251800339,
274189,08:26:97:93:46:53,Zyxel,"Not Available",1251762758,
298046,08:26:97:84:61:71,Zyxel,"Not Available",1251814799,
275680,08:26:97:95:07:E7,Zyxel,"Not Available",1251775248,
251992,08:26:97:7C:6D:19,Zyxel,"Not Available",1251690898,
257191,08:26:97:7C:9C:AD,zyxel,"Not Available",1251694184,
275695,4C:C5:3E:5F:3F:5D,Zyxel,"Not Available",1251770386,
258982,08:26:97:84:5e:65,Zyxel,"Not Available",1251719843,
243209,08:26:97:6b:aa:a2,zyxel,"Not Available",1251740398,
284123,4c:c5:3e:5e:ab:79,Zyxel,"Not Available",1251789569,
250013,08:26:97:84:88:4d,zyxel,"Not Available",1251800279,
252449,08:26:97:84:90:99,Zyxel,"Not Available",1251684781,
274442,08:26:97:94:61:a3,Zyxel,"Not Available",1251752703,
257430,08:26:97:84:66:09,Zyxel,"Not Available",1251719966,
276227,08:26:97:94:1f:df,Zyxel,"Not Available",1251794936,
261612,08:26:97:84:5e:89,Zyxel,"Not Available",1251722942,
281903,08:26:97:88:E8:21,Zyxel,"Not Available",1251832849,
243553,08:26:97:7B:6A:05,zyxel,"Not Available",1251666636,
269380,08:26:97:84:59:b5,Zyxel,"Not Available",1251744779,
284428,08:26:97:93:5c:97,Zyxel,"Not Available",1251785453,
271438,08:26:97:95:51:DF,Zyxel,"Not Available",1251755790,
